Nest,6/3/19,6/4/19,6/5/19,6/6/19,6/7/19,6/8/19,6/9/19,6/10/19,6/11/19,6/12/19,6/13/19,6/14/19,6/15/19,6/16/19,6/17/19,6/18/19,6/19/19,6/21/19,6/22/19,6/23/19,6/24/19,6/25/19,6/26/19,6/27/19,6/28/19,6/29/19,6/30/19,7/1/19,7/2/19,7/3/19,7/4/19,7/5/19,7/6/19,7/7/19,7/8/19,7/9/19,7/10/19,7/11/19,7/12/19,7/13/19,7/14/19,7/15/19,7/16/19,7/17/19,7/18/19,7/19/19,7/20/19,7/21/19,7/22/19,7/23/19,7/24/19,7/25/19,7/25/19
26,,YRBW,,"BWRY, RGYW",,,BYBY,,RYBW,"WBYR, RWGY",,BWBW,WWWW,,"WRWR, YGBR",,,,,,,BYRW,BYBY,,,WBGR,,,,,,,,,,"GYRW, YY??, YRYR",,,YY??,YYBB,YYBB,YYBB,YYBB,YYBB,YYBB,YYBB,YYBB,YYBB,YYBB,YYBB,YYBB,YYBB,YYBB
27,,,,,,,,,,,,,,,,,,RBWY,RGBW,"GRWB, YRYR, GYRW, BYBY",,,GRWB,"WBGR, RYBW, SSGdGd, WYWY",,RRYY,,,,BRBR,,,,,,,YY??,,,,,,,,WRBY,,,,,,,,
28,"WBYR, BGBG, YYGG","BGBG, WGBY, YYGG, BWBW","BGBG, YYGG, RWBY","RGRG, BGBG",BGBG,"RWBY, BGBG","BGBG, RWRW","BGBG, RWRW","RWBY, RWRW, BGBG","WYWY, BGBG",RBWY,"YRBW, RBWY",YRBW,,,,"BYRW, WGBY, YYGG",,,GGGG,,,WRWR,WBRY,"YWYW, GBGB",YBYB,,GGRR,,,,,,GYGY,,YBYB,YRYR,,,,,,,,,,,,,,,,
29,,,,WBGR,,"WBRY, YGWR",,,,,,,,,,,,WGBY,,,,,,,"YRBW, WWYY",,"BWBW, RGRG",,,,,,,,,,,,,,,,RYW?,RYRY,,,RYW?,WWRR,WWRR,WWRR,,"GBGB, WWRR",
30,,,"RBGW, RRRR","BWRY, RBWY, BRBR","RYRY, RWGY","RYBW, WYRG",YRYR,RWGY,,,"YGBR, YBWG",YGBR,WYRG,,"WWYY, BYBY",YBYB,GBGB,,,,,,,,"WBRY, WBGR, BYBY",YYBB,,,GBGB,"YWYW, RBWY, YRYR",,,WRWR,RBWY,,,,,,,,,WWRR,WWRR,WWRR,WWRR,WWRR,,GBGB,,,,
31,,"RGRG, RRRR",,GGRR,,,"BRBR, GBGB",YRWG,BRYW,,RYWB,RYWB,BBWW,,,,,WRWR,,,"GYRW, GGRR",BBWW,,,"WYGR, BRWG",,,,,RWRW,,,,,,,WBRY,,,,RBWY,,GGGG,,,,,,,,,,
32,,,,WWWW,"YYGG, BBWW, RBWY",,,,,,"YRYR, RWRW, RRRR, WBGR","RWRW, WBGR, RRRR","GYRW, RWRW, GRWB, YYBB, BYBY, WWYY",,RWRW,,"RWRW, GYRW, RGBW","RWRW, GW?B",RWRW,,,WWRR,BYRW,GBGB,,,"WYWY, BRWG, GYGY",,GGGG,,,,"WBGR, WWYY",,GYRW,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,WRWR,,,,,,,BWRY,"GGRR, WGBY, GW?B",,"GYRW, WRWR",,,,,GBGB,,BRBR,,,YWYW,,,,,,,,,,,,,,,,,,,,,
34,,,,BWBW,BWBW,BWBW,BWBW,BWBW,BWBW,BWBW,,,,,,,,,,,,,WYWY,,,RYWB,,,,,,,,,,,,,,,,,,,,WBRY,,,GGRR,,,,
35,,,"YWYW, WBGR",,,,"BRWG, WYWY, WWWW, GRWB",BWRY,,,BYBY,BYBY,,,,,,,,,WBGR,,,,,,,,RWRW,YYBB,RWRW,RWRW,"WRBY, YBYB",RWRW,,YWYW,,,GGRR,,WRWR,,,,,,,,,,,,
36,,,,GWYR,GWYR,GWYR,GWYR,GWYR,GWYR,GWYR,GWYR,GWYR,GWYR,,"GWYR, WBYR",GWYR,"GWYR, WBYR, YBGR","GWYR, YBGR","YBGR, GWYR, WBYR","YBGR, GWYR, WBYR","GWYR, YBGR, YGBR","YBGR, WBYR, GWYR, YGBR","YBGR, GWYR, WBYR, YGBR","WGBR, YBGR, GWYR","WBYR, YBGR, GWYR, YGBR","WBYR, GWYR, YBGR, YGBR","YBGR, YGBR, GWYR, WBYR","GWYR, YBGR, WBYR, YGBR","GWYR, YBGR, YGBR","YBGR, GWYR, YGBR","GWYR, WBRY, YBGR, YGBR","GWYR, YBGR, YGBR, WBYR","YBGR, GWYR, WBYR","WBYR, GWYR, YBGR","YBGR, GWYR, WBYR","GWYR, YBGR","GWYR, YBGR","YBGR, GWYR","GWYR, YBGR","GWYR, YBGR","YBGR, GWYR","GWYR, YBGR","GWYR, YBGR","GWYR, YBGR","GWYR, YBGR","GWYR, YBGR","YBGR, GWYR","YBGR, GWYR","YBGR, GWYR","YBGR, GWYR","YBGR, GWYR",GWYR,GWYR
37,"BRYW, YBGR, RGYW","YBGR, BRYW",YBGR,"BYRW, YBGR",YBGR,YBGR,"YBGR, BRYW","RBGW, YBGR","RBGW, YBGR","YBGR, RBGW","YBGR, RBGW, RGBW, RWYB","RBGW, YBGR, RWYB, RGBW","RBGW, YBGR, RGBW",,"RGBW, YRBW",YRBW,YRBW,YRBW,"BYBY, YYBB, YRBW",YRBW,"WGBY, YRBW","GWRB, YRBW, WGBY","WGBY, GWRB, YRBW","GWRB, YRBW, WGBY","GWRB, WGBY, YRBW","YRBW, GWRB","GWRB, YRBW, WGBY","YRBW, WGBY, GWRB","WGBY, YRBW","WGBY, YRWB","YRBW, WGBY, GWRB","WGBY, YRBW, GWRB","GWRB, WGBY, YRBW","WGBY, YRBW, GWRB","GWRB, WGBY, YRBW","GWRB, YRBW, WGBY","GWRB, YRBW, WGBY","GWRB, YRBW, WGBY","YRBW, GW??","GWRB, YRBW","YRBW, GWRB","GWRB, YRBW","GWRB, YRBW","GWRB, YRBW",YRBW,"YRBW, BYBY",YRBW,"YRBW, BYBY","YRBW, BYBY",YRBW,YRBW,YRBW,YRBW
38,,,,,,,,,,,,,,,,,,RBGW,RBGW,RBGW,"RBGW, RRRR","RRRR, RBGW","RBGW, RRRR","RBGW, RRRR","RRRR, RBGW","RBGW, RRRR","BYRW, RBGW, RRRR","RBGW, BYRW, RRRR","RBGW, RRRR","RBGW, RRRR, BYRW","BYRW, RRRR, RBGW","BYRW, RRRR, RBGW","RRRR, BYRW, RBGW","BYRW, RRRR, RBGW","RBGW, BYRW, RRRR","BYRW, RBGW, RRRR","BYRW, RRRR, RBGW","RBGW, RRRR","RBGW, BYRW, RRRR","RRRR, RBGW, BYRW","RBGW, BYRW, RRRR","BYRW, RBGW, RRRR",RBGW,RRRR,RRRR,RRRR,RRRR,RRRR,RRRR,RRRR,RRRR,RRRR,RRRR
39,,,"WBRY, BRBR",,,BBWW,"WYRB, RBWY",,,,BBWW,BBWW,RYBW,,RYBW,,,,,,,RGBW,,,,,YBYB,,YWYW,"GBGB, BRWG",,,GYRW,,BRWG,,,,,,WBGR,,WBGR,WBGR,WBGR,WBGR,WBGR,WBGR,WBGR,WBGR,WBGR,WBGR,WBGR
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRWG,,,,,,,,,,,,,,,,GYGY,,WRBY,,,,,,
